author_key,display_name,authorChannelId,n_comments,cluster,avg_len,reply_share,mean_likes,sent_mean,sent_std,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,sample_comment
UC6tI-C0fMQqctHPlw9S4xGg,@reshmamunji2591,UC6tI-C0fMQqctHPlw9S4xGg,2,8,3.0,0.0,26.0,0.7969999999999999,0.2264155913359325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Kendall jenner ❤and aishwarya rai❤
UC6wOI8_7egpQcQZaerWaTpg,@10percenter1,UC6wOI8_7egpQcQZaerWaTpg,1,4,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Star in the making
UC74N-CuH2Y1fg-yLPoiVHuQ,@jankulback4628,UC74N-CuH2Y1fg-yLPoiVHuQ,2,8,8.0,0.0,1.0,0.6797500000000001,0.19438365414818198,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,Beautiful can be strong!
UC750oPzeydWB6hm4vEQTdaQ,@Ranvirkaur6555,UC750oPzeydWB6hm4vEQTdaQ,1,4,10.0,0.0,0.0,0.9274,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Divyashri i am just in love with this girl ❤❤
UC7AG3Iach0wtCtgGWfOl2Ow,@mollysalazar7843,UC7AG3Iach0wtCtgGWfOl2Ow,1,4,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
UC7Cd0UO5ix29ARbyjUGQjww,@TheMillennialVlogger,UC7Cd0UO5ix29ARbyjUGQjww,1,5,20.0,0.0,15.0,-0.8126,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"I was very excited but disappointing results. Bulky, leaky, inadequate coverage. I’ll go back to traditional self color after this."
UC7HDh9RJt1dptigQR0ZTvhg,@jacobadevlieghe2363,UC7HDh9RJt1dptigQR0ZTvhg,2,2,11.5,0.0,1.5,0.8516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Omg i love this! This is amazing we need more games 🫶🏽
UC7N0Hgz8cYy8jJGBs2bv0cA,@Nini-fb1rx,UC7N0Hgz8cYy8jJGBs2bv0cA,7,8,6.571428571428571,0.0,1.1428571428571428,0.6432,0.3056070843419701,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,I got one❤
UC7PRFhqCYESFKR6bRj3056g,@Saudie.Hernandez69,UC7PRFhqCYESFKR6bRj3056g,1,2,2.0,0.0,3.0,0.9565,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Gorgeous 🥰💖👑✨️
UC7YxYtq322AqQ5VAmUH9OEQ,@Romaissa-g2z,UC7YxYtq322AqQ5VAmUH9OEQ,1,4,1.0,0.0,1.0,0.9982,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Lilyslilah❤❤❤❤❤❤❤🥰🥰🥰🥰🥰🥰🥰🥰
